"section","inDocs","median"
"Contact details","1","1"
"Mode of Delivery:","18","1"
"Course Duration:","18","2"
"Unit Structure:","18","3"
"Training Method:","18","4"
"Assessment Method:","10","5"
"Work placement","12","5"
"Assessment methods","8","6"
"Target Learner:","10","7"
"Target learners","8","7"
"Trainer ratio:","15","8"
"Training package:","10","9"
"Delivery Period","8","9"
"Trainer student ratio","3","10"
"Skill set description and vocational outcome","1","10"
"TAS prepared by","8","10"
"Training product:","10","10"
"Skill set packaging rules rationale:","1","11"
"Pathways from the qualification","1","11"
"TAS Documents","7","11"
"ACI Program CRICOS code","5","11"
"Companion Volumes","1","11"
"Qualification","10","12"
"CRICOS No.code","1","13"
"RTO Name","8","13"
"Qualification packaging rules rationale:","9","13"
"Qualification description and job roles","16","13"
"ACIEntry Requirements","2","13"
"RTO No.","8","14"
"CRICOS","4","15"
"Pre-existing knowledge and skills:Level of industry experience:","1","15"
"Employment status:","11","15"
"CRICOS provider code","3","15"
"Training package code","8","16"
"Reason for learning:","11","16"
"Licensing, legislative or regulatory requirements:","3","17"
"Training package title","8","17"
"Pre-existing knowledge and skills / Level of industry experience:","8","17"
"Language, literacy and numeracy requirements:","1","17"
"National register","8","18"
"Transitioning Arrangements","5","18"
"Companion volume","8","19"
"Licensing, legislative, or regulatory requirement","8","20"
"Qualification title","8","20"
"CRICOS course code","4","20"
"Mandatory practical requirements:","1","20"
"CRICOS Code","4","21"
"Delivery periodStart -End","1","21"
"Delivery periodStart - End","1","22"
"Delivery periodStart-End","5","22"
"Communication","17","22"
"Trainer ratio and rules for variation:","6","23"
"Guidance on prerequisite requirements:","2","23"
"Writing","17","23"
"Qualification description","1","23"
"Reading","17","24"
"Cohorts","15","24"
"Licensing/Regulatory Information","5","24"
"Numeracy","17","25"
"Key Features of the Delivery Mode:","5","25"
"Packaging rulesStandard 1:(Clause 1.1 – 1.4)","1","25"
"Entry Requirements","1","25"
"Packaging rules","7","25"
"Training Location","5","26"
"Training package entry requirements:","15","26"
"Qualification Pathway","8","26"
"Mode : Supervised learning hours","1","27"
"Licensing","5","27"
"Entry requirements and reasonable adjustments","7","27"
"Cluster 1 – Business & WHS Foundations","1","28"
"Method 1:","2","28"
"Focus","1","28"
"Target learner group size (min/max):","11","29"
"Method 2:","2","29"
"Guidance on any prerequisite or corequisite requirements:","5","29"
"Units","1","29"
"Supervised learning hours","1","29"
"MVC entry requirements:","1","29"
"Unit","1","30"
"Total amount of assessment:","2","30"
"Volume of learning","10","31"
"Insurance coverage:","1","31"
"Industry workplace requirements:","1","32"
"Amount of training","10","32"
"Method B: knowledge queswtions","1","33"
"Possible delivery variation:","18","33"
"Cohorts(Target groups)","1","33"
"Reason why these electives were chosen","1","34"
"Method 1:Supervised assessment","9","34"
"Classroom Training","4","34"
"Mode 1: Supervised learning hours","7","34"
"Record keeping requirements:","1","34"
"Method B: knowledge questions","1","35"
"Mode 1: Classroom Training","3","35"
"Method 2:Non-supervised assessment","8","35"
"Mandatory work placement requirements:","10","35"
"Reassessment arrangements:","1","35"
"Mode 2: Self-paced Training","3","36"
"Student support during practical evidence collection:","1","36"
"Important note:","1","37"
"Hours Core and elective components","1","37"
"The existing skills, knowledge and the experience of the learner","8","37"
"Guidance on any prerequisite or co requisite requirements","8","38"
"Materials for individual units","8","39"
"Method A: Practical Demonstration","17","39"
"The mode of delivery","18","40"
"Core and Elective components","6","40"
"Method C: Written Report","17","41"
"Description of the Assessment methods","8","41"
"Method B: Portfolio of work","15","42"
"Method D: Project Work.","17","42"
"Method F: Presentation/observations","1","43"
"Method E: Role Play","17","43"
"Method 2:Non-supervised assessment Preparation time","1","43"
"Principles of assessment and rules of evidence","1","44"
"Coordination requirements:","17","44"
"Reasonable adjustment in assessment","1","45"
"Method F: Presentation/Observation","16","46"
"Responsibility to organise:","4","47"
"Assessment feedback and resubmission","1","47"
"Assessment briefing requirements:","17","48"
"Assessment mapping and judgement","1","48"
"Written agreement requirements:","4","48"
"Reasonable adjustment guidance and support needs :","5","49"
"Dress and personal equipment requirements:","4","49"
"Annex reference","1","49"
"Recording and reporting requirements:","17","49"
"Minimum time and attendance requirements:","4","50"
"Industry benchmarks for assessment:","11","50"
"Reassessment guidance:","17","50"
"Reasonable adjustment guidance:","12","51"
"Orientation and induction arrangements:","4","51"
"Assessment benchmarks","8","53"
"Environment - Locations and Resources","1","53"
"Learning resources:","18","53"
"Assessment resources:","18","54"
"Locations and Resources","7","55"
"Delivery locations","8","55"
"Trainers and assessors:","17","55"
"Uniforms and tool kits – Provided by ACI","4","55"
"Equipment:","17","56"
"Learner Requirements – Equipment, Dress Code, and Technology Access","5","56"
"Duration:","2","57"
"Facilities and venue requirements:","1","57"
"Evidence Gathering","1","57"
"Digital systems and learner access:","1","58"
"The amount of training","8","58"
"Supervised","8","59"
"Third-party and workplace resources:","1","59"
"Volunteer insurance coverage:","3","59"
"Learner Feedback and Continuous Improvement","5","59"
"Trainer Feedback and Continuous Improvement","5","60"
"Qualification, class, and commencement date:","1","60"
"Supervision requirements:","6","60"
"Consumables:","18","60"
"Method A: Written questions","1","60"
"Assessment preparation and project work(Non-supervised)","4","60"
"Industry Engagement and Feedback Strategy","5","61"
"Non-supervised","6","61"
"Scope of work requirements:","3","61"
"Equipment for each classroom","1","61"
"Method B: Role Play","1","61"
"Third party evidence requirements:","3","62"
"Method C: Practical Demonstration","1","62"
"Monitoring and reporting arrangements:","3","63"
"Facilities:","17","63"
"Continuous improvement actions:","1","63"
"Method D: Written Report","1","63"
"Work placement logbook requirements:","3","64"
"Review schedule:","1","64"
"Financial:","17","64"
"Provided by the learner:","13","64"
"Method E: Project Work.","1","64"
"Qualification/Unit of Competency Assessment Approach","1","65"
"Statutory requirements:","3","65"
"Category","1","65"
"Formal review requirements:","11","65"
"Resource strategy","2","65"
"Food safety equipment","1","67"
"Collecting feedback from learners:","13","68"
"Cleaning and sanitation","1","68"
"Assessment validation:","16","69"
"Evaluation strategy","8","69"
"Food items and packaging","1","69"
"Industry consultationStandard 1: (Clause 1.5 – 1.6)","1","69"
"Collecting feedback from trainers and assessors:","13","69"
"Documentation","1","70"
"Industry consultation:","11","71"
"Delivery location:","3","71"
"Proposed Start Date:","3","72"
"Proposed End Date:","3","73"
"Evidence-gathering conditions","2","74"
"Equipment location:","3","75"
"Training and assessment support and policies","7","75"
"Student Support","6","76"
"MVC Policies","7","77"
"Identifying learners needs","6","77"
"The amount of assessment","3","78"
"Validation Processes and Industry Engagement","6","79"
"Credentials of External Validator","1","80"
"Total amount of training and assessment","2","80"
"Continuous improvement","7","80"
"Identify Learners Needs","1","80"
"Moderation","7","81"
"Monitoring Students","7","82"
"Validation","1","82"
"Practicals Consumables","1","82"
"Appeals and Re-assessments","8","83"
"Legislation, Policies and Procedures","7","84"
"Feedback","3","86"
"Annexure 2: Course Program/timetable (example)","1","86"
"WHS & Risk Assessment","7","86"
"Uniforms and tool kits – Provided by MVC","1","86"
"Annual Review","7","87"
"Annexure 3: Student handbook and course guide","1","87"
"Annexure 4: Assessment plan (example)","1","88"
"Annexure 5: Assessment submission Flowchart","1","89"
"Annexure 6: Industry consultation documents","1","90"
"Annexure 7: COVID19 Addendum to TAS","1","91"
"Mode 1:Zoom Classroom Training","1","92"
"Unit delivery structure and sequence","1","93"
"Supervised training hours mean","1","94"
"No. of hours","1","95"
"Full Day","1","96"
"Half Day","1","97"
"Resources","1","98"
"Financial hardship Support","1","99"
"Mentoring Sessions","1","100"
"Student surveys","1","101"
